contributor,category,r2,mae,ctd_100,ctd_200,ctd_300,n_activities,frequency,seasonality,data_points
boring-cyborg[bot],bot,-0.05136519887643476,0.5290034644173647,-134.0,,,300,1H,24.0,737
bors-servo,bot,-0.12928045406028743,1.0513981809237771,82.0,16.0,,297,30T,48.0,426
bot-gradle,bot,-0.10368849182842887,2.0729165336661324,-21.0,-32.0,,300,20T,72.0,392
carsonbot,bot,0.0005981101988711268,1.4873974038448805,,,,296,4H,6.0,496
cf-gitbot,bot,0.0199231763298664,0.9421028056910385,-16.0,91.0,106.0,295,30T,48.0,354
cheminfo-bot,bot,-0.00019301513599101483,0.5523659986496396,19.0,-96.0,36.0,300,1H,24.0,772
cla-bot[bot],bot,-0.43812084374667903,0.7116546050744191,,,,300,30T,48.0,534
cmsdmwmbot,bot,-1.4461629094897637,2.758684267939765,45.0,152.0,247.0,292,4H,6.0,429
codeclimate[bot],bot,-0.37925256242597927,0.563017903805643,,,,300,2T,,577
codesandbox[bot],bot,-1.2181083790585396,1.0648018541927022,6.0,35.0,158.0,300,8T,168.0,406
confs-tech-bot,bot,0.004262347423719226,0.6867567892785243,-149.0,,,299,1H,24.0,783
cozy-bot,bot,-13.399666602527722,6.039938919376748,144.0,262.0,454.0,298,1H,24.0,318
cypress-bot[bot],bot,-4.7109772465906765,4.127169719331761,74.0,185.0,263.0,300,1H,24.0,373
delete-merged-branch[bot],bot,-0.43250828725979384,0.7025015302658484,,,,299,4T,,445
devOpsHazelcast,bot,-0.24620338673789077,0.9193512125775671,-104.0,46.0,640.0,299,30T,48.0,510
dlang-bot,bot,-0.9170724663831686,1.054097941090546,93.0,142.0,316.0,300,2H,12.0,550
docker-library-bot,bot,0.2353406518800918,1.623581596369432,18.0,21.0,17.0,300,30T,48.0,322
dontcallmedom-bot,bot,0.541366058589418,0.6559916991241298,24.0,89.0,144.0,292,1H,24.0,479
dotnet-bot,bot,-16.99791616625637,5.283329888560984,56.0,132.0,259.0,299,15T,96.0,414
dotnet-issue-labeler[bot],bot,0.0645915114866843,0.4552824850475458,-44.0,-10.0,6.0,300,1H,24.0,793
dotnet-maestro-bot,bot,0.02106200252789281,0.8358600225653008,272.0,315.0,236.0,296,1H,24.0,705
edx-requirements-bot,bot,-8.883010170545694,10.184524416384306,,,,299,15T,96.0,350
edx-transifex-bot,bot,0.12272339711153957,0.7263752108749624,141.0,164.0,285.0,295,1H,24.0,662
elife-bot,bot,-0.3855431423337279,1.4837161946113877,422.0,576.0,558.0,295,20T,72.0,387
engine-flutter-autoroll,bot,-0.25260797057410267,1.7925941081595527,10.0,30.0,112.0,300,20T,72.0,339
fire-bot,bot,0.2000065198096289,1.4942846854488898,7.0,17.0,54.0,299,4H,6.0,487
