contributor,category,r2,mae,ctd_100,ctd_200,ctd_300,n_activities,frequency,seasonality,data_points
maraino,human,-0.05657439510642104,0.6256702574540501,-53.0,-43.0,,298,1H,24.0,815
markets,human,-3.017656434433399,2.168855477843534,-45.0,14.0,-21.0,298,2H,12.0,483
martinRenou,human,-0.5334018756153225,1.2417690932020717,93.0,119.0,53.0,298,1H,24.0,339
matthewp,human,-0.9098996518063791,1.1638377129277417,-48.0,-20.0,3.0,296,1H,24.0,484
mattstauffer,human,-1.32547400446659,0.5830996748864349,1.0,214.0,501.0,295,1H,24.0,747
medikoo,human,-1.3290671492365367,0.964079565450198,118.0,239.0,203.0,299,30T,48.0,434
mmstick,human,-2.340775065918869,0.4777531712515012,146.0,525.0,849.0,299,1H,24.0,785
mnapoli,human,-0.3682553264040962,0.9012808255534712,-53.0,-34.0,232.0,300,1H,24.0,500
mvz,human,-0.1683705547552259,1.2523255469325352,39.0,1.0,,299,3H,8.0,447
nblumhardt,human,0.048892767837022344,1.1897500005647388,-8.0,-43.0,,300,4H,6.0,380
nicoddemus,human,-0.7499100309044111,0.7285603975372316,237.0,153.0,24.0,300,1H,24.0,684
nikku,human,-1.480013861466615,1.3178921029343358,-76.0,-77.0,56.0,300,1H,24.0,359
norkans7,human,-7.095582616006702,4.353209440989398,-119.0,-92.0,,299,2H,12.0,502
nytamin,human,-0.827412904240493,2.3540682065997496,-94.0,-230.0,,271,4H,6.0,431
p0nce,human,-2.7654010972574197,0.7602539645120538,74.0,425.0,635.0,299,2H,12.0,506
parlough,human,-1.7938148219057717,1.0099302700593655,132.0,282.0,223.0,300,30T,48.0,463
paulfalgout,human,-0.822454639914246,0.7893302351693346,49.0,-11.0,,293,1H,24.0,860
petemoore,human,-18.378966501489973,5.131246618069291,-35.0,48.0,,288,2H,12.0,458
petersilva,human,-0.03659727071970087,0.9875350973865874,-49.0,8.0,18.0,299,4H,6.0,379
phax,human,-0.10098542405539757,1.2133066622993192,,,,280,1H,24.0,895
philippfromme,human,-1.3887984469115269,2.1421264264291437,-41.0,-75.0,,298,3H,8.0,438
raphaelm,human,-0.3146096559273335,0.6814697331364294,103.0,169.0,121.0,297,1H,24.0,642
rasheedamir,human,-43.101984280909384,12.076480264701363,-42.0,,,282,4H,6.0,394
reckart,human,-1.1847906963585948,1.1570872028836778,11.0,55.0,142.0,297,1H,24.0,453
rixx,human,-0.26414597802570805,1.1837761725057876,60.0,4.0,21.0,290,3H,8.0,428
rminnich,human,-11.498875143899316,2.4471542964948316,44.0,157.0,228.0,299,3H,8.0,411
seratch,human,-0.47145900659964934,1.080402274238922,3.0,-72.0,,296,1H,24.0,543
sfackler,human,-0.3566400727141208,1.5061604906383779,-61.0,,,300,3H,8.0,454
shawnbot,human,-0.255458160052239,1.5602486320245479,14.0,-13.0,8.0,300,4H,6.0,385
snakefoot,human,-1.0210313571787712,0.665869752765517,23.0,-135.0,,297,1H,24.0,856
sonnyp,human,-39.15773739541701,3.9729554309762114,-111.0,-306.0,,298,1H,24.0,855
sserrata,human,-34.83720394097741,3.6253560229927446,-74.0,-2.0,152.0,288,1H,24.0,411
staltz,human,-0.19238071222936548,0.6736537485635155,0.0,-9.0,168.0,298,1H,24.0,579
stapelberg,human,-1.4071067542779434,0.6437500101507211,-66.0,122.0,121.0,300,1H,24.0,883
suzuki-shunsuke,human,-0.7565471687924197,1.6248072906914945,-3.0,8.0,27.0,299,20T,72.0,360
techknowlogick,human,-2.825515427583755,0.6569074902179189,277.0,653.0,656.0,299,30T,48.0,545
tibetsprague,human,-15.23164455656297,2.9081620408899016,2.0,100.0,470.0,299,2H,12.0,505
timja,human,-5.41671196104431,3.725565331463187,,,,275,30T,48.0,342
tommoor,human,-0.043710844995973996,1.751545619687263,,,,299,1H,24.0,493
tschaub,human,-0.8294135432522158,2.3181229887875276,-133.0,,,288,2H,12.0,476
twiecki,human,-0.31341883190502107,1.0386662468682542,-43.0,-7.0,19.0,300,3H,8.0,434
tychoish,human,-0.4581989687953081,1.0969789354149695,-68.0,9.0,,297,2H,12.0,503
ueokande,human,-11.823543941616368,1.4032560821839357,224.0,176.0,315.0,294,1H,24.0,818
unknwon,human,-1.140442181011168,0.8264427479633056,68.0,153.0,534.0,299,30T,48.0,529
vasturiano,human,-167.84310594057172,0.908130096708379,3788.0,9882.0,11387.0,300,8T,168.0,360
visualfc,human,-3.4823325874280453,0.8393034175045782,-118.0,331.0,778.0,300,1H,24.0,658
vmarkovtsev,human,-5.305019513394036,0.9042983973596511,-16.0,507.0,432.0,300,30T,48.0,483
yajra,human,-161.47665392229834,16.585225097603338,-133.0,-239.0,,290,2H,12.0,491
yowainwright,human,-2.1127390097898284,1.574449076727134,-89.0,-108.0,,297,1H,24.0,549
yuce,human,-11.630844007134472,2.675021486141487,-108.0,-139.0,,298,1H,24.0,435
yurishkuro,human,-4.088476200566427,0.938830442696786,107.0,405.0,687.0,300,30T,48.0,596
