contributor,category,r2,mae,ctd_100,ctd_200,ctd_300,n_activities,frequency,seasonality,data_points
edsu,human,0.013833642203204044,1.5832084690388881,-47.0,-104.0,,299,2H,12.0,495
eduardo-rodrigues,human,0.03784889655653878,1.8702697814454319,39.0,42.0,72.0,296,3H,8.0,424
ekohl,human,0.00853975814385699,0.7848925473738998,104.0,-48.0,,299,30T,48.0,345
ericholscher,human,-0.0678706714416275,0.9795994489599875,67.0,96.0,330.0,294,1H,24.0,338
ericsoderberghp,human,-0.09482912099040952,0.8701388175707797,152.0,210.0,452.0,300,1H,24.0,834
fax4ever,human,-0.13969233101851808,1.3257490954453595,,,,299,4H,6.0,384
gregturn,human,0.014747091830812797,1.887624748495157,69.0,,,298,1H,24.0,813
gsmet,human,-146.44377701154778,66.5655625458478,34.0,42.0,93.0,286,30T,48.0,333
istarkov,human,-0.33360650386221846,1.9349784964963437,145.0,199.0,214.0,297,1H,24.0,559
jacogr,human,0.02198087607990029,0.8773671213397067,6.0,102.0,135.0,294,30T,48.0,459
jakirkham,human,-0.9011908782752662,4.129528827294557,60.0,77.0,99.0,293,1H,24.0,329
jaraco,human,-1.290898277111773,2.677721829527544,82.0,317.0,482.0,292,1H,24.0,569
jaredallard,human,-0.047717561485080884,1.3414998544293928,17.0,74.0,85.0,299,1H,24.0,449
jennybc,human,-0.15781013728392335,1.3816997804397353,-22.0,72.0,177.0,298,1H,24.0,386
jeremyf,human,-0.09676620145310388,1.027365234614153,23.0,56.0,70.0,300,1H,24.0,385
kaczmarj,human,-7.064115786113007,2.024086149161335,615.0,1316.0,1612.0,299,1H,24.0,684
keithamus,human,-0.0008210607782714874,0.8136166403975085,,,,259,1H,24.0,839
kitten,human,-0.4962527816378717,0.8831566277801346,,,,300,30T,48.0,368
leleuj,human,0.011693023186207796,0.6593605083240054,-5.0,,,300,1H,24.0,722
lirantal,human,-0.1246776402841796,0.6721025247393315,-5.0,-62.0,,300,1H,24.0,477
ljharb,human,-0.2956883999735844,1.722569195053991,,,,295,30T,48.0,333
llvm-beanz,human,0.06018192878138107,0.7992727995997455,18.0,49.0,77.0,297,3H,8.0,472
lmangani,human,0.12297552463538897,0.6282865921036916,-1.0,-3.0,,300,1H,24.0,560
lukasgraf,human,-0.038253637137012575,0.3580460005854069,,,,298,1H,24.0,768
maraino,human,0.0388541362148086,0.6244521551149341,-242.0,,,298,1H,24.0,815
markets,human,-0.3861470948994514,1.7959993512143206,40.0,200.0,268.0,298,2H,12.0,483
martinRenou,human,0.03614512874937015,1.1543729500536395,71.0,23.0,,298,1H,24.0,339
matthewp,human,0.10785378366056253,0.9580672946865917,-4.0,62.0,144.0,296,1H,24.0,484
mattstauffer,human,-0.15305338974177363,0.6782896041095235,51.0,333.0,696.0,295,1H,24.0,747
medikoo,human,-0.35504793601529516,0.8812424858865456,153.0,322.0,308.0,299,30T,48.0,434
mmstick,human,-0.3165745157082467,0.552495005170334,,,,299,1H,24.0,785
mnapoli,human,-0.2878995259011039,1.1015303596460042,2.0,82.0,398.0,300,1H,24.0,500
mvz,human,-0.05283129589855573,1.2285716497066004,,,,299,3H,8.0,447
nblumhardt,human,0.10021726024526156,1.389744292691507,12.0,13.0,43.0,300,4H,6.0,380
nicoddemus,human,-0.045393183153966676,1.0748559851983517,326.0,365.0,367.0,300,1H,24.0,684
